# git_sha=91e1997789dfc52e821a1386d39e280de7209df3-dirty
# timestamp_utc=2026-07-24T08:42:47.796753+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"L_max": 3, "T": 20.0, "alpha": 0.1, "base_dt": 0.4, "beta": 0.5, "chunk": 250, "cross_hi": 0.05, "cross_lo": 1e-05, "lam": 0.3, "level_samples": 2000, "n_nodes": 200, "out": null, "pilot_samples": 50, "quick": false, "refinement": 2, "rel_eps": [0.02, 0.01, 0.005], "rho_high": 0.99, "rho_low": 0.3, "seeds": [0, 1, 2], "sigma": 0.433, "stress": true, "threads": 6, "topologies": ["er", "ba", "ws", "rr"], "traffic": ["uniform", "mmpp2", "pareto", "degree"], "var_samples": 4000}
C_l,V_l,dt,level,mean_Y,seed,topology,traffic
600.0,1.0862648677030717e-06,0.05,3,0.005361418493697651,0,rr,pareto
50.0,0.0015041124140204739,0.4,0,0.8900368694350893,1,rr,pareto
150.0,8.538262535072853e-06,0.2,1,0.026306999892423206,1,rr,pareto
300.0,2.604603011660304e-06,0.1,2,0.0074788763349614,1,rr,pareto
600.0,1.01756655355831e-06,0.05,3,0.0052671603367135875,1,rr,pareto
50.0,0.0015706458946965708,0.4,0,0.9288396928162355,2,rr,pareto
150.0,6.847026216867435e-06,0.2,1,0.0186724253222871,2,rr,pareto
300.0,2.4900454615758904e-06,0.1,2,0.007358110718609849,2,rr,pareto
600.0,1.0518370178795795e-06,0.05,3,0.005176651811228188,2,rr,pareto
50.0,0.0010202096641925235,0.4,0,0.8125163282336776,0,rr,degree
150.0,5.843218452365658e-06,0.2,1,0.008973727855779604,0,rr,degree
300.0,2.196795403292522e-06,0.1,2,0.006197509455863358,0,rr,degree
600.0,9.176631062091782e-07,0.05,3,0.004471458675217024,0,rr,degree
50.0,0.0010885007094832962,0.4,0,0.8263411748366976,1,rr,degree
150.0,6.11486176203013e-06,0.2,1,0.00884615595390763,1,rr,degree
300.0,2.2013348660738105e-06,0.1,2,0.006064176382834596,1,rr,degree
600.0,8.822418730158046e-07,0.05,3,0.004382548617377053,1,rr,degree
50.0,0.0011155415576172179,0.4,0,0.8518202633083488,2,rr,degree
150.0,5.680471067240112e-06,0.2,1,0.008491607128695646,2,rr,degree
300.0,1.9202319704440494e-06,0.1,2,0.005860099327261468,2,rr,degree
600.0,9.090397481342341e-07,0.05,3,0.004223747925531998,2,rr,degree
