W_MC_0.0005,W_MC_0.001,W_MC_0.002,W_MC_0.005,W_MC_0.01,W_MLMC_0.0005,W_MLMC_0.001,W_MLMC_0.002,W_MLMC_0.005,W_MLMC_0.01,antithetic_work_ratio_vs_mc,beta_var,both_floored_0.0005,both_floored_0.001,both_floored_0.002,both_floored_0.005,both_floored_0.01,crossover_rel_eps,cv_work_ratio_vs_mc,min_V_l,ratio_0.0005,ratio_0.001,ratio_0.002,ratio_0.005,ratio_0.01,ref_mean,seed,topology,traffic,var_mc_per_path
5603059.206007883,1400764.8015019707,350191.2003754927,56030.59206007884,20000.0,1189136.8902664124,307362.75156979717,109864.26125277046,61678.28180044328,55000.0,31.553435340411777,1.374893963940486,False,False,False,False,True,0.004550444504152497,15.225390206509136,1.0417327942239327e-06,4.711870644894872,4.557366806315434,3.1874896930293777,0.9084330889982112,nan,0.9676834602961242,2,ba,pareto,0.0016396149497698092
5325684.244874749,1331421.0612186873,332855.26530467183,53256.84244874749,20000.0,1194384.0121733905,307035.68378370063,108312.15381309466,61429.944610095146,55000.0,24.80441492195122,1.4484444510125838,False,False,False,False,True,0.004550444504152497,12.383430330001676,1.067113348252955e-06,4.45893798861535,4.336372387766635,3.0731109444933824,0.8669524738590677,nan,0.90694866687202,0,ba,degree,0.0013689602855511034
5141102.862689373,1285275.7156723433,321318.9289180858,51411.02862689374,20000.0,1202440.686640787,309702.02711635036,108730.30926359678,61494.91468630197,55000.0,23.941216384048932,1.5232216896580975,False,False,False,False,True,0.004359794641269909,12.449061060162766,1.020071165829208e-06,4.275556307938879,4.150039725731226,2.955191897220735,0.8360208139022848,nan,0.9174706939034702,1,ba,degree,0.0013523550170750213
4929628.235239195,1232407.0588097987,308101.76470244967,49296.282352391936,20000.0,1086268.6917690795,282814.05461134977,104353.83756820245,60796.614010912395,55000.0,25.774541955974772,1.4356003830318016,False,False,False,False,True,0.004359794641269909,13.51545278694024,9.827109372628753e-07,4.538129721119811,4.357658463980525,2.952471819745813,0.8108392737717883,nan,0.9542642620518771,2,ba,degree,0.0014028185790274216
4858492.704510018,1214623.1761275046,303655.79403187614,48584.9270451002,20000.0,1072250.2932455267,277485.76434495754,102218.26211859484,60454.921938975174,55000.0,38.91934615532053,1.337245303529468,False,False,False,False,True,0.004359794641269909,19.83430977446183,9.12952726778647e-07,4.5311180935228785,4.377245005684475,2.9706608950127826,0.8036554425484683,nan,0.8328270713074224,0,ws,uniform,0.0010530797067685774
4785611.072706264,1196402.768176566,299100.6920441415,47856.11072706265,20000.0,1087866.572520625,282012.9015849059,103271.85614006029,60623.49698240965,55000.0,38.76935009148595,1.4096728685637023,False,False,False,False,True,0.004177132431062562,20.31567889717377,8.739392091044306e-07,4.39907907236991,4.242368918063005,2.8962459204615483,0.789398716820121,nan,0.8463786758429667,1,ws,uniform,0.0010713141672522442
4758971.89436362,1189742.973590905,297435.74339772627,47589.71894363622,20000.0,1039017.5638760946,270491.9285175183,101530.10254571759,60344.816407314815,55000.0,40.949052356347536,1.335251132045323,False,False,False,False,True,0.004177132431062562,20.44022824829992,8.947514220870395e-07,4.58026125815438,4.398441684051404,2.9295325813720625,0.7886297743026613,nan,0.8669847639021121,2,ws,uniform,0.0011178565925796169
5599820.614632008,1399955.153658002,349988.7884145005,55998.206146320066,20000.0,1224416.4519939444,314738.3388165345,110284.28021986759,61642.0506898154,55000.0,28.555735400378726,1.608944195398897,False,False,False,False,True,0.004550444504152497,13.932225347385051,1.0605366986722606e-06,4.5734607743246025,4.447996894569797,3.1735147358875393,0.9084416485120632,nan,0.9237818438294083,0,ws,mmpp2,0.0014933547279146317
5473971.929135882,1368492.9822839706,342123.24557099264,54739.71929135882,20000.0,1215584.6642921793,313931.36749697867,110430.5618950881,61768.8899032141,55000.0,26.94301246596611,1.582169539821772,False,False,False,False,True,0.004550444504152497,13.371778946478717,9.70239593508803e-07,4.503159746855898,4.359210719193714,3.0980848027923518,0.8862020893872415,nan,0.9421668015676109,1,ws,mmpp2,0.0015184768742628023
5388047.565540414,1347011.8913851036,336752.9728462759,53880.47565540415,20000.0,1179427.121459502,304917.8271715803,108686.85281682978,61489.896450692766,55000.0,28.361723356251495,1.527701469209566,False,False,False,False,True,0.004550444504152497,13.750570852884547,1.0362559939306722e-06,4.568359899060896,4.4176226227242745,3.09837817655652,0.8762492501285895,nan,0.9603451700603045,2,ws,mmpp2,0.0015528737751052495
5524482.487279024,1381120.621819756,345280.155454939,55244.82487279023,20000.0,1182856.6999200755,304197.358181342,107921.35123015987,61367.41619682558,55000.0,27.424288358701386,1.329049926023615,False,False,False,False,True,0.004550444504152497,13.66597947943565,1.0963900261967736e-06,4.670457957969303,4.540212413667395,3.1993683503700097,0.9002305832072484,nan,0.9167083988217893,0,ws,pareto,0.0014507882968014369
5424590.79450403,1356147.6986260074,339036.92465650185,54245.9079450403,20000.0,1219937.5999163727,314279.094778016,110156.82252271127,61708.41059164948,55000.0,29.084565884048654,1.5548785998733248,False,False,False,False,True,0.004550444504152497,14.489983168776101,1.0143682809476601e-06,4.4466133307768265,4.315106289789628,3.0777660147795376,0.8790683056805384,nan,0.930562676417443,1,ws,pareto,0.0014679398605445108
5381481.694274562,1345370.4235686406,336342.60589216015,53814.816942745616,20000.0,1160212.5870923044,300170.383384959,108143.0465448301,61402.88744717282,55000.0,29.567305362299408,1.3681308952343363,False,False,False,False,True,0.004550444504152497,14.560354744118797,1.0363920074330342e-06,4.638358309627977,4.482022537990518,3.110163960035389,0.876421601330141,nan,0.9552448325220811,2,ws,pareto,0.0015345508461618717
4891849.941677016,1222962.485419254,305740.6213548135,48918.499416770166,20000.0,1072769.3833399997,277526.3737121257,102249.27999656067,60459.884799449705,55000.0,38.618569120337625,1.3294784427609514,False,False,False,False,True,0.004359794641269909,19.61439127293906,9.250335701762613e-07,4.5600200915937315,4.406653209427282,2.9901493816396325,0.809106725542676,nan,0.8349043431712575,0,ws,degree,0.0010656058320200905
