# git_sha=91e1997789dfc52e821a1386d39e280de7209df3-dirty
# timestamp_utc=2026-07-24T08:42:47.796753+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"L_max": 3, "T": 20.0, "alpha": 0.1, "base_dt": 0.4, "beta": 0.5, "chunk": 250, "cross_hi": 0.05, "cross_lo": 1e-05, "lam": 0.3, "level_samples": 2000, "n_nodes": 200, "out": null, "pilot_samples": 50, "quick": false, "refinement": 2, "rel_eps": [0.02, 0.01, 0.005], "rho_high": 0.99, "rho_low": 0.3, "seeds": [0, 1, 2], "sigma": 0.433, "stress": true, "threads": 6, "topologies": ["er", "ba", "ws", "rr"], "traffic": ["uniform", "mmpp2", "pareto", "degree"], "var_samples": 4000}
C_l,V_l,W_MC_eps_0.005,W_MC_eps_0.01,W_MC_eps_0.02,W_MLMC_eps_0.005,W_MLMC_eps_0.01,W_MLMC_eps_0.02,antithetic_work_ratio_vs_mc,beta_var,both_at_pilot_floor_eps_0.005,both_at_pilot_floor_eps_0.01,both_at_pilot_floor_eps_0.02,crossover_rel_eps,cv_coefficient,cv_work_ratio_vs_mc,elapsed_s,lemma2_positive_variance_holds,min_V_l,n_nodes,n_steps_fine,pilot_samples,ratio_eps_0.005,ratio_eps_0.01,ratio_eps_0.02,ref_mean,reflection_bind_fraction,rho_max,rho_mean,rho_min,seed,topology,traffic,var_antithetic_per_pair,var_cv_per_path,var_mc_per_path
"[50.0, 150.0, 300.0, 600.0]","[0.0016176313603646578, 9.144058467905228e-06, 2.503115545786027e-06, 1.0305721676755129e-06]",56161.084409170726,20000.0,20000.0,62128.560022402955,55000.0,55000.0,25.02095567695516,1.5746945462807573,False,True,True,0.004550444504152497,0.87765204333685,12.513526413108304,14.346097946166992,True,1.0305721676755129e-06,200,400,50,0.9039495586075,nan,nan,0.9397001540653174,0.02372985,0.9880466791311968,0.6385693555952997,0.3046024081034543,1,ba,mmpp2,3.096921616960173e-05,6.192334275316173e-05,0.001549758770259296
"[50.0, 150.0, 300.0, 600.0]","[0.001728490134273861, 8.655488797591745e-06, 2.416558645438687e-06, 1.0415936868935265e-06]",57644.30683288789,20000.0,20000.0,61935.46904213689,55000.0,55000.0,30.62382999115477,1.5274113425567357,False,True,True,0.004749431312512541,0.8876316008715901,14.107568945103406,14.289373874664307,True,1.0415936868935265e-06,200,400,50,0.9307155935748291,nan,nan,0.9757046402090261,0.02271235,0.9887384500105155,0.6533568602667771,0.3004707882849155,2,ba,mmpp2,2.7999719646585962e-05,6.078004350669219e-05,0.0017149173085140893
"[50.0, 150.0, 300.0, 600.0]","[0.0014805897136034958, 7.447012277468086e-06, 3.225412112671773e-06, 1.1782139812545825e-06]",59391.24019959575,20000.0,20000.0,61871.82108126899,55000.0,55000.0,25.71829823506976,1.330030079056469,False,True,True,0.004749431312512541,0.8643864519526011,12.045090342102903,14.292716979980469,True,1.1782139812545825e-06,200,400,50,0.9599077441341999,nan,nan,0.9184542344107434,0.0244057,0.9880229994600576,0.6293724394573139,0.30605590157493084,0,ba,pareto,3.043793838606564e-05,6.499012915969928e-05,0.001565623954147028
"[50.0, 150.0, 300.0, 600.0]","[0.0015355478754300496, 8.96396078775413e-06, 2.7111492909214876e-06, 1.0550079581168005e-06]",55306.77753862686,20000.0,20000.0,62008.98456821231,55000.0,55000.0,26.80207126625087,1.5434412282024381,False,True,True,0.004550444504152497,0.8827760484483113,13.328646931860174,14.327927112579346,True,1.0550079581168005e-06,200,400,50,0.8919155493957047,nan,nan,0.9255000076511063,0.0241149,0.9880466791311968,0.6385693555952997,0.3046024081034543,1,ba,pareto,2.761740550295804e-05,5.5534794661705844e-05,0.0014804073409584607
"[50.0, 150.0, 300.0, 600.0]","[0.0016584316141715395, 7.006884910412262e-06, 2.5577178006605865e-06, 1.0417327942239327e-06]",56030.59206007884,20000.0,20000.0,61678.28180044328,55000.0,55000.0,31.553435340411777,1.374893963940486,False,True,True,0.004550444504152497,0.8911126169227512,15.225390206509136,14.30380892753601,True,1.0417327942239327e-06,200,400,50,0.9084330889982112,nan,nan,0.9676834602961242,0.0228727,0.9887384500105155,0.6533568602667771,0.3004707882849155,2,ba,pareto,2.5981560043794774e-05,5.3844759560541296e-05,0.0016396149497698092
"[50.0, 150.0, 300.0, 600.0]","[0.0013729634345085008, 7.948057604229876e-06, 2.7259508901389174e-06, 1.067113348252955e-06]",53256.84244874749,20000.0,20000.0,61429.944610095146,55000.0,55000.0,24.80441492195122,1.4484444510125838,False,True,True,0.004550444504152497,0.8763821731682706,12.383430330001676,14.304767847061157,True,1.067113348252955e-06,200,400,50,0.8669524738590677,nan,nan,0.90694866687202,0.0256292,0.9880229994600576,0.6293724394573139,0.30605590157493084,0,ba,degree,2.759509324970232e-05,5.5273871983374664e-05,0.0013689602855511034
"[50.0, 150.0, 300.0, 600.0]","[0.0014159725834225786, 8.427549438098194e-06, 2.8658917119933334e-06, 1.020071165829208e-06]",51411.02862689374,20000.0,20000.0,61494.91468630197,55000.0,55000.0,23.941216384048932,1.5232216896580975,False,True,True,0.004359794641269909,0.8842213439043427,12.449061060162766,14.311930179595947,True,1.020071165829208e-06,200,400,50,0.8360208139022848,nan,nan,0.9174706939034702,0.02456405,0.9880466791311968,0.6385693555952997,0.3046024081034543,1,ba,degree,2.824323951175766e-05,5.431554277625737e-05,0.0013523550170750213
"[50.0, 150.0, 300.0, 600.0]","[0.0014425864087489, 7.190239288752474e-06, 2.243436797612506e-06, 9.827109372628753e-07]",49296.282352391936,20000.0,20000.0,60796.614010912395,55000.0,55000.0,25.774541955974772,1.4356003830318016,False,True,True,0.004359794641269909,0.8967096439358669,13.51545278694024,14.300127744674683,True,9.827109372628753e-07,200,400,50,0.8108392737717883,nan,nan,0.9542642620518771,0.02355405,0.9887384500105155,0.6533568602667771,0.3004707882849155,2,ba,degree,2.721325914197741e-05,5.189683990398539e-05,0.0014028185790274216
"[50.0, 150.0, 300.0, 600.0]","[0.001023352716691942, 5.828411225119748e-06, 2.205965293836612e-06, 9.12952726778647e-07]",48584.9270451002,20000.0,20000.0,60454.921938975174,55000.0,55000.0,38.91934615532053,1.337245303529468,False,True,True,0.004359794641269909,0.9090636657595853,19.83430977446183,14.342922925949097,True,9.12952726778647e-07,200,400,50,0.8036554425484683,nan,nan,0.8328270713074224,0.0233624,0.9880229994600576,0.6293724394573139,0.30605590157493084,0,ws,uniform,1.3529000494585832e-05,2.6546920935068208e-05,0.0010530797067685774
"[50.0, 150.0, 300.0, 600.0]","[0.001086375216307067, 6.168631955731026e-06, 2.206500858061078e-06, 8.739392091044306e-07]",47856.11072706265,20000.0,20000.0,60623.49698240965,55000.0,55000.0,38.76935009148595,1.4096728685637023,False,True,True,0.004177132431062562,0.9135648090987359,20.31567889717377,14.324414253234863,True,8.739392091044306e-07,200,400,50,0.789398716820121,nan,nan,0.8463786758429667,0.02284385,0.9880466791311968,0.6385693555952997,0.3046024081034543,1,ws,uniform,1.3816509236345354e-05,2.636668389657608e-05,0.0010713141672522442
