# git_sha=116cdad5795775cff210d379367c29d1a476413c-dirty
# timestamp_utc=2026-07-24T08:03:45.363758+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"T": 20.0, "alpha": 0.1, "arms": ["mc", "antithetic", "cv", "qmc"], "base_dt": 0.05, "beta": 0.5, "budgets": [128, 256, 512, 1024, 2048], "cv_pilot": 512, "estimand": "terminal mean_i C_i(T)", "lam": 0.3, "n_nodes": 200, "n_steps": 400, "p_er": 0.05025125628140704, "quick": false, "ref_samples": 20000, "rel_eps": [0.02, 0.01, 0.005], "reps": 40, "seed": 0, "sigmas": [0.1, 0.433], "topology": "er"}
sigma,method,N,rep,estimate,paths_charged,work_units,ref_mean,abs_err
0.1,qmc,512,34,0.7497435168836444,512,204800,0.7497294702606984,1.4046622946017884e-05
0.1,qmc,512,35,0.7497380523112849,512,204800,0.7497294702606984,8.582050586514178e-06
0.1,qmc,512,36,0.7497385789306605,512,204800,0.7497294702606984,9.108669962176741e-06
0.1,qmc,512,37,0.7497520162894205,512,204800,0.7497294702606984,2.2546028722092437e-05
0.1,qmc,512,38,0.749732458429416,512,204800,0.7497294702606984,2.9881687176880334e-06
0.1,qmc,512,39,0.749741131466096,512,204800,0.7497294702606984,1.1661205397639485e-05
0.1,qmc,1024,0,0.7497340393332683,1024,409600,0.7497294702606984,4.5690725699598644e-06
0.1,qmc,1024,1,0.7497195662404992,1024,409600,0.7497294702606984,9.904020199180685e-06
0.1,qmc,1024,2,0.7497250191923974,1024,409600,0.7497294702606984,4.451068300936889e-06
0.1,qmc,1024,3,0.7497424521850453,1024,409600,0.7497294702606984,1.2981924346955331e-05
0.1,qmc,1024,4,0.7497277709298467,1024,409600,0.7497294702606984,1.699330851701042e-06
0.1,qmc,1024,5,0.7497269972550498,1024,409600,0.7497294702606984,2.4730056485955387e-06
0.1,qmc,1024,6,0.7497189443551746,1024,409600,0.7497294702606984,1.0525905523750545e-05
0.1,qmc,1024,7,0.7497304582311075,1024,409600,0.7497294702606984,9.879704091497743e-07
0.1,qmc,1024,8,0.7497281005720469,1024,409600,0.7497294702606984,1.3696886514980022e-06
0.1,qmc,1024,9,0.7497333585760311,1024,409600,0.7497294702606984,3.888315332711834e-06
0.1,qmc,1024,10,0.7497439369767841,1024,409600,0.7497294702606984,1.446671608573702e-05
0.1,qmc,1024,11,0.7497339135507637,1024,409600,0.7497294702606984,4.4432900653257335e-06
0.1,qmc,1024,12,0.7497307703139395,1024,409600,0.7497294702606984,1.3000532411711063e-06
0.1,qmc,1024,13,0.7497336292072279,1024,409600,0.7497294702606984,4.158946529497776e-06
0.1,qmc,1024,14,0.7497147772247837,1024,409600,0.7497294702606984,1.4693035914614683e-05
0.1,qmc,1024,15,0.7497205471454396,1024,409600,0.7497294702606984,8.923115258796521e-06
0.1,qmc,1024,16,0.7497146932335383,1024,409600,0.7497294702606984,1.477702716001783e-05
0.1,qmc,1024,17,0.7497289750244431,1024,409600,0.7497294702606984,4.952362552268497e-07
0.1,qmc,1024,18,0.7497211654901034,1024,409600,0.7497294702606984,8.30477059499124e-06
0.1,qmc,1024,19,0.7497201988456705,1024,409600,0.7497294702606984,9.271415027822805e-06
0.1,qmc,1024,20,0.7497188208232538,1024,409600,0.7497294702606984,1.0649437444554266e-05
0.1,qmc,1024,21,0.7497141733074848,1024,409600,0.7497294702606984,1.5296953213561615e-05
0.1,qmc,1024,22,0.7497411063967497,1024,409600,0.7497294702606984,1.1636136051373924e-05
0.1,qmc,1024,23,0.7497116238626219,1024,409600,0.7497294702606984,1.7846398076448722e-05
0.1,qmc,1024,24,0.7497270849327518,1024,409600,0.7497294702606984,2.3853279466079513e-06
0.1,qmc,1024,25,0.7497254669483628,1024,409600,0.7497294702606984,4.003312335520981e-06
0.1,qmc,1024,26,0.7497175127638231,1024,409600,0.7497294702606984,1.1957496875214524e-05
0.1,qmc,1024,27,0.7497378527151082,1024,409600,0.7497294702606984,8.382454409816553e-06
