B,method,seed,estimate,work,degenerate,ess,wall_s,ref
20.0,cross_entropy,3,5.827941857567588e-06,17000000,False,5.519248614744414,0.11117270799877588,4.247501142726173e-06
20.0,cross_entropy,4,7.318930558539164e-06,17000000,False,11.370803148568289,0.11143154199817218,4.247501142726173e-06
20.0,cross_entropy,5,2.0476342140491904e-05,17000000,False,31.752747416317106,0.11166454199701548,4.247501142726173e-06
20.0,cross_entropy,6,1.599871457679744e-05,17000000,False,36.83554262350299,0.11099895900042611,4.247501142726173e-06
20.0,cross_entropy,7,1.1634015764178534e-05,17000000,False,18.150245476519007,0.11161845799870207,4.247501142726173e-06
20.0,cross_entropy,8,5.967967507071005e-06,17000000,False,16.086986965592303,0.11096695800006273,4.247501142726173e-06
20.0,cross_entropy,9,4.962780169711241e-06,17000000,False,2.088957086679677,0.11060770900076022,4.247501142726173e-06
20.0,fixed_splitting,0,4.964752713929387e-06,1469909,False,2500.0,0.03156779100027052,4.247501142726173e-06
20.0,fixed_splitting,1,7.442536850165338e-06,1455444,False,2500.0,0.03172870800335659,4.247501142726173e-06
20.0,fixed_splitting,2,4.278641064265151e-06,1443729,False,2500.0,0.030990458999440307,4.247501142726173e-06
20.0,fixed_splitting,3,6.303575449666927e-06,1472372,False,2500.0,0.032367333998990944,4.247501142726173e-06
20.0,fixed_splitting,4,4.6426945981562315e-06,1486283,False,2500.0,0.03105262499957462,4.247501142726173e-06
20.0,fixed_splitting,5,5.673299889607036e-06,1457985,False,2500.0,0.03224745800253004,4.247501142726173e-06
20.0,fixed_splitting,6,3.7068484873233985e-06,1454320,False,2500.0,0.029818832997989375,4.247501142726173e-06
20.0,fixed_splitting,7,4.541557844281608e-06,1461066,False,2500.0,0.03172479099885095,4.247501142726173e-06
20.0,fixed_splitting,8,4.189654279007527e-06,1447729,False,2500.0,0.029611250000016298,4.247501142726173e-06
20.0,fixed_splitting,9,5.96808858686431e-06,1474892,False,2500.0,0.031144874999881722,4.247501142726173e-06
25.0,plain_mc,0,0.0,10000000,True,50000.0,0.058453374997043284,8.29109774195764e-09
25.0,plain_mc,1,0.0,10000000,True,50000.0,0.05791158300053212,8.29109774195764e-09
25.0,plain_mc,2,0.0,10000000,True,50000.0,0.058985957999539096,8.29109774195764e-09
25.0,plain_mc,3,0.0,10000000,True,50000.0,0.057990833000076236,8.29109774195764e-09
25.0,plain_mc,4,0.0,10000000,True,50000.0,0.058554374998493586,8.29109774195764e-09
25.0,plain_mc,5,0.0,10000000,True,50000.0,0.05811850000100094,8.29109774195764e-09
25.0,plain_mc,6,0.0,10000000,True,50000.0,0.058476540998526616,8.29109774195764e-09
25.0,plain_mc,7,0.0,10000000,True,50000.0,0.05798179200064624,8.29109774195764e-09
25.0,plain_mc,8,0.0,10000000,True,50000.0,0.05830562499977532,8.29109774195764e-09
25.0,plain_mc,9,0.0,10000000,True,50000.0,0.05853679099891451,8.29109774195764e-09
25.0,gpu_mlmc_is,0,3.66078981599354e-07,10000000,False,16.312177366068155,0.12562933300068835,8.29109774195764e-09
25.0,gpu_mlmc_is,1,5.646706368170131e-08,10000000,False,3.517845081306308,0.1252201250026701,8.29109774195764e-09
25.0,gpu_mlmc_is,2,3.6566452324374916e-08,10000000,False,2.1942903690348623,0.12457595800151466,8.29109774195764e-09
25.0,gpu_mlmc_is,3,2.5531174715003596e-07,10000000,False,15.614178154481584,0.12541491699812468,8.29109774195764e-09
25.0,gpu_mlmc_is,4,9.824601463218883e-08,10000000,False,2.82679304347704,0.12610783299896866,8.29109774195764e-09
25.0,gpu_mlmc_is,5,1.1681509793207133e-07,10000000,False,3.645244927995517,0.1249681250010326,8.29109774195764e-09
